"Tweet_Tidspunkt","Forventet_Avkastning","Faktisk_Avkastning","Unormal_Avkastning","Lopenummer","Text","Rank","Datetime"
2012-01-06 12:28:00,-0.000327625641176722,5.54323725055371e-05,0.000383058013682259,1,"feb is huge month. model x world premier and public reveal of our la design studio on the 9th. stay tuned for more details.",0,2012-01-06 12:28:01
2012-01-06 15:09:00,-6.57150565332806e-05,0.00261299827653301,0.00267871333306629,1,"model s signature series sold out as of today {url}",0,2012-01-06 15:09:40
2012-01-17 12:44:00,-0.000245287461024873,-0.000391498881431724,-0.000146211420406851,1,"tsla down ~$500m friday, but back up ~$500m today. sorry for the roller coaster.",0,2012-01-17 12:44:57
2012-01-17 12:47:00,-0.000256058902168739,0.000727069351230469,0.000983128253399208,1,"will communicate better in the future. too many people want us to fail and are willing to twist any bit of news against tesla.",0,2012-01-17 12:47:19
2012-02-02 12:00:00,0.000113720015325564,0,-0.000113720015325564,1,"the most interesting view of the model x is really with the doors open {url}",0,2012-02-02 12:00:34
2012-02-09 11:37:00,0.000217368143124496,-0.000937514648666282,-0.00115488279179078,1,"model x sketch showing just a bit more leg. unveiling tonight... {url}",0,2012-02-09 11:37:45
2012-02-10 11:51:00,-0.000724560334244007,0.000630669965555756,0.00135523029979976,1,"@teslasbigfan don't worry, we've got a cool solution for ski storage on the x with the falcon wing doors",0,2012-02-10 11:51:47
2012-02-10 12:23:00,0.00014165521797311,0.000968382317338994,0.000826727099365884,1,"tesla model x video  {url}",0,2012-02-10 12:23:17
2012-02-10 14:38:00,7.10297158194514e-05,-0.000627807021780112,-0.000698836737599564,1,"tesla model x is 3rd most searched term on google, right after purple squirrel. damn you squirrel! {url}",0,2012-02-10 14:38:00
2012-05-10 12:24:00,-6.36872787464482e-05,-0.00299910474485225,-0.0029354174661058,1,"meant to say: prizes for first 10 who do 400 miles in tesla w/o recharging, not nonstop, which would require diapers :)",0,2012-05-10 12:24:47
2012-07-12 10:50:00,0.000488380220699472,0.00156450007111378,0.00107611985041431,1,"going at full speed! mt â@iansomerhalder: elon- you are my hero my friend.please!ramp up production on cars that use no gas.""",0,2012-07-12 10:50:49
2012-08-22 12:11:00,8.77404479713046e-05,-0.000200672252044326,-0.000288412700015631,1,"glad to contribute to the tesla museum and will do more in the future. he was a great man. {url}",0,2012-08-22 12:11:24
2012-08-22 12:14:00,0.00011946289350283,0.000351053159478397,0.000231590265975566,1,"i love the sight of teslas in the morning. production line review is looking good! {url}",0,2012-08-22 12:14:31
2012-08-27 15:39:00,-0.000237390804752438,-0.000690021231422547,-0.000452630426670109,1,"motor trend tests model s as fastest american sedan at 3.9 sec 0-60 mph and tied for 1st worldwide in stopping distance",0,2012-08-27 15:39:47
2012-08-27 15:51:00,-0.000328856791702655,0.00137762941768661,0.00170648620938926,1,"@joebeernink back of the envelope calc: merlin wd accelerate model s at 25 g's, so wd break sound barrier in &lt;1.5 sec",0,2012-08-27 15:51:07
2012-09-24 13:53:00,-0.00042981493880913,0.00117416829745606,0.00160398323626519,1,"model s review by @wired. totally agree with criticisms. corrections coming soon. {url}",0,2012-09-24 13:53:03
2012-11-20 14:22:00,0.000111237945880171,0.00054847113670637,0.0004372331908262,1,"mass. judge denies auto dealers' demand to kill our little tesla store. yay, justice prevails!  {url}",0,2012-11-20 14:22:29
